feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	17736	19241	+	WP_002517418.1	WP_002517418.1		sugar ABC transporter ATP-binding protein		2931997	PPA_RS00075	1506	501	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	19300	20301	+						2932155	PPA_RS00080	1002		old_locus_tag=PPA0016
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	19300	20301	+	WP_002530865.1	WP_002530865.1		ABC transporter permease		2932155	PPA_RS00080	1002	333	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	20350	21291	+						2932868	PPA_RS00085	942		old_locus_tag=PPA0017
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	20350	21291	+	WP_002530864.1	WP_002530864.1		D-ribose ABC transporter substrate-binding protein		2932868	PPA_RS00085	942	313	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	21288	22217	+						2931330	PPA_RS00090	930		old_locus_tag=PPA0018
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	21288	22217	+	WP_002515739.1	WP_002515739.1		ribokinase		2931330	PPA_RS00090	930	309	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22214	22597	+						2931644	PPA_RS00095	384		old_locus_tag=PPA0019
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22214	22597	+	WP_002515909.1	WP_002515909.1		D-ribose pyranase		2931644	PPA_RS00095	384	127	
gene	tRNA	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22692	22765	+						2931280	PPA_RS00100	74		old_locus_tag=PPA2408
tRNA		GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22692	22765	+				tRNA-Ile		2931280	PPA_RS00100	74		anticodon=GAT
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22846	23049	+						23324530	PPA_RS00105	204		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	22846	23049	+	WP_002518565.1	WP_002518565.1		hypothetical protein		23324530	PPA_RS00105	204	67	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	23201	23677	-						2932309	PPA_RS00110	477		old_locus_tag=PPA0021
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	23201	23677	-	WP_002515763.1	WP_002515763.1		PTS fructose transporter subunit IIA		2932309	PPA_RS00110	477	158	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	23734	24990	-						2932259	PPA_RS00115	1257		old_locus_tag=PPA0022
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	23734	24990	-	WP_002515696.1	WP_002515696.1		PTS galactitol transporter subunit IIC		2932259	PPA_RS00115	1257	418	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25011	25313	-						2932555	PPA_RS00120	303		old_locus_tag=PPA0023
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25011	25313	-	WP_002515905.1	WP_002515905.1		PTS galactitol transporter subunit IIB		2932555	PPA_RS00120	303	100	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25303	25686	-						2932554	PPA_RS00125	384		old_locus_tag=PPA0025
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25303	25686	-	WP_002515880.1	WP_002515880.1		hypothetical protein		2932554	PPA_RS00125	384	127	
gene	pseudogene	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25961	27854	+						23324531	PPA_RS00130	1894		pseudo
CDS	without_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	25961	27854	+				PTS sugar transporter subunit IIA		23324531	PPA_RS00130	1894		pseudo
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	27931	28140	+						30769233	PPA_RS11960	210		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	27931	28140	+	WP_002544044.1	WP_002544044.1		hypothetical protein		30769233	PPA_RS11960	210	69	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28352	28456	+						30769234	PPA_RS11965	105		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28352	28456	+	WP_073882993.1	WP_073882993.1		MFS transporter		30769234	PPA_RS11965	105	34	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28427	28711	-						30769235	PPA_RS11970	285		old_locus_tag=PPA2391
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28427	28711	-	WP_002529816.1	WP_002529816.1		hypothetical protein		30769235	PPA_RS11970	285	94	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28790	29005	+						23324532	PPA_RS00135	216		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	28790	29005	+	WP_009640264.1	WP_009640264.1		metal-dependent amidase/aminoacylase/carboxypeptidase		23324532	PPA_RS00135	216	71	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	29313	29654	-						23324533	PPA_RS00140	342		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	29313	29654	-	WP_041444205.1	WP_041444205.1		hypothetical protein		23324533	PPA_RS00140	342	113	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	30008	30601	-						2932767	PPA_RS00145	594		old_locus_tag=PPA0030
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	30008	30601	-	WP_002529814.1	WP_002529814.1		phosphatase		2932767	PPA_RS00145	594	197	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	30784	31542	+						2932557	PPA_RS00150	759		old_locus_tag=PPA0031
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	30784	31542	+	WP_002529813.1	WP_002529813.1		DeoR/GlpR transcriptional regulator		2932557	PPA_RS00150	759	252	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	31730	32152	+						30769236	PPA_RS11975	423		old_locus_tag=PPA2392
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	31730	32152	+	WP_002529812.1	WP_002529812.1		hypothetical protein		30769236	PPA_RS11975	423	140	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	32158	32895	-						2931158	PPA_RS00155	738		old_locus_tag=PPA0032
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	32158	32895	-	WP_002529811.1	WP_002529811.1		hypothetical protein		2931158	PPA_RS00155	738	245	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	32889	33362	-						30769237	PPA_RS11980	474		old_locus_tag=PPA0033
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	32889	33362	-	WP_073885316.1	WP_073885316.1		hypothetical protein		30769237	PPA_RS11980	474	157	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	33561	34619	+						30769238	PPA_RS11985	1059		old_locus_tag=PPA0034
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	33561	34619	+	WP_002515713.1	WP_002515713.1		aminotransferase		30769238	PPA_RS11985	1059	352	
gene	pseudogene	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	34623	35500	-						23324535	PPA_RS00165	878		pseudo
CDS	without_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	34623	35500	-				patatin family protein		23324535	PPA_RS00165	878		pseudo
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	35552	36118	+						2932772	PPA_RS00170	567		old_locus_tag=PPA0037
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	35552	36118	+	WP_002518575.1	WP_002518575.1		N-acetyltransferase		2932772	PPA_RS00170	567	188	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	36132	36791	+						2932558	PPA_RS00175	660		old_locus_tag=PPA0038
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	36132	36791	+	WP_002515733.1	WP_002515733.1		hypothetical protein		2932558	PPA_RS00175	660	219	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	36779	36988	-						30769239	PPA_RS11990	210		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	36779	36988	-	WP_073885317.1	WP_073885317.1		hypothetical protein		30769239	PPA_RS11990	210	69	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	37209	37682	+						23324536	PPA_RS00180	474		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	37209	37682	+	WP_002518576.1	WP_002518576.1		flagellar protein FlgA		23324536	PPA_RS00180	474	157	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	37682	38500	+						2932556	PPA_RS00185	819		old_locus_tag=PPA0040
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	37682	38500	+	WP_011183586.1	WP_011183586.1		hypothetical protein		2932556	PPA_RS00185	819	272	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	38497	39975	+						2932801	PPA_RS00190	1479		old_locus_tag=PPA0041
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	38497	39975	+	WP_009640254.1	WP_009640254.1		CpaF family protein		2932801	PPA_RS00190	1479	492	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	39966	40847	+						2932584	PPA_RS00195	882		old_locus_tag=PPA0042
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	39966	40847	+	WP_002530855.1	WP_002530855.1		membrane protein		2932584	PPA_RS00195	882	293	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	40840	41742	+						2932560	PPA_RS00200	903		old_locus_tag=PPA0043
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	40840	41742	+	WP_002519810.1	WP_002519810.1		hypothetical protein		2932560	PPA_RS00200	903	300	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	41812	42024	+						23324537	PPA_RS00205	213		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	41812	42024	+	WP_002515840.1	WP_002515840.1		hypothetical protein		23324537	PPA_RS00205	213	70	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42093	42401	+						23324538	PPA_RS00210	309		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42093	42401	+	WP_002522841.1	WP_002522841.1		hypothetical protein		23324538	PPA_RS00210	309	102	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42398	42907	+						2932611	PPA_RS00215	510		old_locus_tag=PPA0046
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42398	42907	+	WP_002515752.1	WP_002515752.1		membrane protein		2932611	PPA_RS00215	510	169	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42904	45666	+						2932778	PPA_RS00220	2763		old_locus_tag=PPA0047
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	42904	45666	+	WP_002515720.1	WP_002515720.1		LysM peptidoglycan-binding domain-containing protein		2932778	PPA_RS00220	2763	920	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	45713	47056	-						2932661	PPA_RS00225	1344		old_locus_tag=PPA0048
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	45713	47056	-	WP_002515761.1	WP_002515761.1		MFS transporter		2932661	PPA_RS00225	1344	447	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	47438	49135	+						2932562	PPA_RS00230	1698		old_locus_tag=PPA0049
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	47438	49135	+	WP_032496461.1	WP_032496461.1		formate--tetrahydrofolate ligase		2932562	PPA_RS00230	1698	565	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	49241	49654	+						2931290	PPA_RS00235	414		old_locus_tag=PPA0050
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	49241	49654	+	WP_002515819.1	WP_002515819.1		hypothetical protein		2931290	PPA_RS00235	414	137	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	49651	50172	-						2932341	PPA_RS00240	522		old_locus_tag=PPA0051
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	49651	50172	-	WP_002519814.1	WP_002519814.1		hypothetical protein		2932341	PPA_RS00240	522	173	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	50197	50871	-						2932629	PPA_RS00245	675		old_locus_tag=PPA0052
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	50197	50871	-	WP_011183589.1	WP_011183589.1		hypothetical protein		2932629	PPA_RS00245	675	224	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	51068	53539	-						2932665	PPA_RS00250	2472		old_locus_tag=PPA0053
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	51068	53539	-	WP_002515849.1	WP_002515849.1		ABC transporter substrate-binding protein		2932665	PPA_RS00250	2472	823	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	53539	54243	-						23324539	PPA_RS00255	705		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	53539	54243	-	WP_032496463.1	WP_032496463.1		ABC transporter ATP-binding protein		23324539	PPA_RS00255	705	234	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	54681	55337	-						2932561	PPA_RS00260	657		old_locus_tag=PPA0055
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	54681	55337	-	WP_002515807.1	WP_002515807.1		DNA-binding response regulator		2932561	PPA_RS00260	657	218	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	55356	55904	-						2931276	PPA_RS00265	549		old_locus_tag=PPA0056
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	55356	55904	-	WP_002519817.1	WP_002519817.1		hypothetical protein		2931276	PPA_RS00265	549	182	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	56040	56870	-						2933133	PPA_RS00270	831		old_locus_tag=PPA0057
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	56040	56870	-	WP_002518585.1	WP_002518585.1		carbohydrate ABC transporter permease		2933133	PPA_RS00270	831	276	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	56867	57763	-						2932648	PPA_RS00275	897		old_locus_tag=PPA0058
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	56867	57763	-	WP_002519818.1	WP_002519818.1		sugar ABC transporter permease		2932648	PPA_RS00275	897	298	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	57848	59152	-						2931166	PPA_RS00280	1305		old_locus_tag=PPA0059
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	57848	59152	-	WP_002530852.1	WP_002530852.1		sugar-binding protein		2931166	PPA_RS00280	1305	434	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59132	59323	+						30769240	PPA_RS11995	192		old_locus_tag=PPA2395
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59132	59323	+	WP_002522470.1	WP_002522470.1		hypothetical protein		30769240	PPA_RS11995	192	63	
gene	pseudogene	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59304	59507	-						30769241	PPA_RS12000	204		pseudo
CDS	without_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59304	59507	-				hypothetical protein		30769241	PPA_RS12000	204		pseudo
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59499	60251	+						2932839	PPA_RS00285	753		old_locus_tag=PPA0060
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	59499	60251	+	WP_002530851.1	WP_002530851.1		DeoR/GlpR transcriptional regulator		2932839	PPA_RS00285	753	250	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	60248	61636	+						2931114	PPA_RS00290	1389		old_locus_tag=PPA0061
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	60248	61636	+	WP_002515923.1	WP_002515923.1		6-phospho-beta-glucosidase		2931114	PPA_RS00290	1389	462	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	61629	64757	+						2932565	PPA_RS00295	3129		old_locus_tag=PPA0062
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	61629	64757	+	WP_002530850.1	WP_002530850.1		glycosyl hydrolase		2932565	PPA_RS00295	3129	1042	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	64754	65809	+						2932563	PPA_RS00300	1056		old_locus_tag=PPA0063
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	64754	65809	+	WP_002519822.1	WP_002519822.1		membrane protein		2932563	PPA_RS00300	1056	351	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	65803	66447	+						2932849	PPA_RS00305	645		old_locus_tag=PPA0064
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	65803	66447	+	WP_002525541.1	WP_002525541.1		HAD family phosphatase		2932849	PPA_RS00305	645	214	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	66444	67739	+						2931133	PPA_RS00310	1296		old_locus_tag=PPA0065
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	66444	67739	+	WP_002524588.1	WP_002524588.1		metal-independent alpha-mannosidase		2931133	PPA_RS00310	1296	431	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	67723	69261	-						2932895	PPA_RS00315	1539		old_locus_tag=PPA0066
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	67723	69261	-	WP_002515908.1	WP_002515908.1		glycosyl hydrolase		2932895	PPA_RS00315	1539	512	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	69367	70302	+						2932564	PPA_RS00320	936		old_locus_tag=PPA0067
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	69367	70302	+	WP_002548081.1	WP_002548081.1		carbohydrate kinase family protein		2932564	PPA_RS00320	936	311	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	70321	71691	-						2931077	PPA_RS00325	1371		old_locus_tag=PPA0068
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	70321	71691	-	WP_002519827.1	WP_002519827.1		sensor histidine kinase		2931077	PPA_RS00325	1371	456	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	71799	72860	+						2933238	PPA_RS00330	1062		old_locus_tag=PPA0069
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	71799	72860	+	WP_002518589.1	WP_002518589.1		UDP-glucose 4-epimerase GalE		2933238	PPA_RS00330	1062	353	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	72933	73565	-						23324540	PPA_RS00335	633		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	72933	73565	-	WP_002519828.1	WP_002519828.1		TetR/AcrR family transcriptional regulator		23324540	PPA_RS00335	633	210	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	73682	76414	+						2932202	PPA_RS00340	2733		old_locus_tag=PPA0071
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	73682	76414	+	WP_002524590.1	WP_002524590.1		MMPL family transporter		2932202	PPA_RS00340	2733	910	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	76411	78780	+						2932892	PPA_RS00345	2370		old_locus_tag=PPA0072
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	76411	78780	+	WP_002525540.1	WP_002525540.1		membrane protein		2932892	PPA_RS00345	2370	789	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	78966	80420	-						2932859	PPA_RS00355	1455		old_locus_tag=PPA0073
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	78966	80420	-	WP_002518590.1	WP_002518590.1		ABC transporter permease		2932859	PPA_RS00355	1455	484	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	80414	81166	-						2932893	PPA_RS00360	753		old_locus_tag=PPA0074
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	80414	81166	-	WP_002515702.1	WP_002515702.1		ABC transporter ATP-binding protein		2932893	PPA_RS00360	753	250	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	81381	82250	+						2931116	PPA_RS00365	870		old_locus_tag=PPA0075
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	81381	82250	+	WP_002518592.1	WP_002518592.1		class I SAM-dependent methyltransferase		2931116	PPA_RS00365	870	289	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	82492	83481	+						2933232	PPA_RS00370	990		old_locus_tag=PPA0076
